zgbh,rq,bcbh
1319978   ,2017/8/28 0:00:00,113
1320327   ,2017/8/28 0:00:00,113
1323215   ,2017/8/28 0:00:00,113
1327482   ,2017/8/28 0:00:00,113
YG5587    ,2017/8/28 0:00:00,113
1329566   ,2017/8/28 0:00:00,113
1329793   ,2017/8/28 0:00:00,113
1329787   ,2017/8/28 0:00:00,113
YG4295    ,2017/8/29 0:00:00,106
YG4691    ,2017/8/29 0:00:00,106
YG4692    ,2017/8/29 0:00:00,106
YG4696    ,2017/8/29 0:00:00,106
YG4465    ,2017/8/29 0:00:00,106
YG4715    ,2017/8/29 0:00:00,106
YG4448    ,2017/8/29 0:00:00,106
YG4451    ,2017/8/29 0:00:00,106
YG4452    ,2017/8/29 0:00:00,106
YG4468    ,2017/8/29 0:00:00,106
YG4470    ,2017/8/29 0:00:00,106
YG4477    ,2017/8/29 0:00:00,106
YG4509    ,2017/8/29 0:00:00,106
YG4485    ,2017/8/29 0:00:00,106
YG4491    ,2017/8/29 0:00:00,106
YG4492    ,2017/8/29 0:00:00,106
YG4504    ,2017/8/29 0:00:00,106
YG4505    ,2017/8/29 0:00:00,106
YG3628    ,2017/8/29 0:00:00,113
YG3709    ,2017/8/29 0:00:00,113
YG3897    ,2017/8/29 0:00:00,113
YG3906    ,2017/8/29 0:00:00,113
YG5091    ,2017/8/29 0:00:00,113
YG3699    ,2017/8/29 0:00:00,113
YG3757    ,2017/8/29 0:00:00,113
YG3777    ,2017/8/29 0:00:00,113
YG3635    ,2017/8/29 0:00:00,113
YG3643    ,2017/8/29 0:00:00,113
YG3672    ,2017/8/29 0:00:00,113
YG3682    ,2017/8/29 0:00:00,113
YG3726    ,2017/8/29 0:00:00,113
YG3739    ,2017/8/29 0:00:00,113
YG3790    ,2017/8/29 0:00:00,113
YG3849    ,2017/8/29 0:00:00,113
YG3854    ,2017/8/29 0:00:00,113
YG4800    ,2017/8/29 0:00:00,113
YG3966    ,2017/8/29 0:00:00,113
YG4042    ,2017/8/29 0:00:00,113
YG4160    ,2017/8/29 0:00:00,113
YG4669    ,2017/8/29 0:00:00,113
YG4037    ,2017/8/29 0:00:00,113
YG4281    ,2017/8/29 0:00:00,113
YG4668    ,2017/8/29 0:00:00,113
YG3880    ,2017/8/29 0:00:00,106
YG3664    ,2017/8/29 0:00:00,106
YG3978    ,2017/8/29 0:00:00,106
YG3899    ,2017/8/29 0:00:00,106
YG3677    ,2017/8/29 0:00:00,106
YG4772    ,2017/8/29 0:00:00,106
YG3920    ,2017/8/29 0:00:00,305
YG4563    ,2017/8/29 0:00:00,305
YG4516    ,2017/8/29 0:00:00,305
yg2016    ,2017/8/29 0:00:00,305
YG0693    ,2017/8/29 0:00:00,305
YG4264    ,2017/8/29 0:00:00,305
YG4544    ,2017/8/29 0:00:00,312
YG4262    ,2017/8/29 0:00:00,305
YG4077    ,2017/8/29 0:00:00,305
YG4045    ,2017/8/29 0:00:00,305
YG4622    ,2017/8/29 0:00:00,305
YG3993    ,2017/8/29 0:00:00,305
yg5069    ,2017/8/29 0:00:00,305
yg4548    ,2017/8/29 0:00:00,305
yg4263    ,2017/8/29 0:00:00,305
yg4079    ,2017/8/29 0:00:00,305
yg4290    ,2017/8/29 0:00:00,305
yg2351    ,2017/8/29 0:00:00,305
yg4510    ,2017/8/29 0:00:00,305
1320572   ,2017/8/29 0:00:00,113
1310049   ,2017/8/29 0:00:00,113
1324162   ,2017/8/29 0:00:00,305
1323144   ,2017/8/29 0:00:00,106
1317481   ,2017/8/29 0:00:00,305
1317763   ,2017/8/29 0:00:00,113
1322940   ,2017/8/29 0:00:00,305
1323164   ,2017/8/29 0:00:00,106
1309608   ,2017/8/29 0:00:00,305
1324757   ,2017/8/29 0:00:00,305
1302979   ,2017/8/29 0:00:00,113
1305011   ,2017/8/29 0:00:00,319
1321877   ,2017/8/29 0:00:00,106
1306935   ,2017/8/29 0:00:00,106
1303770   ,2017/8/29 0:00:00,113
1321681   ,2017/8/29 0:00:00,106
1322238   ,2017/8/29 0:00:00,305
1313402   ,2017/8/29 0:00:00,106
1322230   ,2017/8/29 0:00:00,305
1322164   ,2017/8/29 0:00:00,305
1310259   ,2017/8/29 0:00:00,113
1317045   ,2017/8/29 0:00:00,113
1317851   ,2017/8/29 0:00:00,113
1306961   ,2017/8/29 0:00:00,106
1286573   ,2017/8/29 0:00:00,113
1305136   ,2017/8/29 0:00:00,113
1317820   ,2017/8/29 0:00:00,113
1288324   ,2017/8/29 0:00:00,106
1304460   ,2017/8/29 0:00:00,113
1323472   ,2017/8/29 0:00:00,305
1317847   ,2017/8/29 0:00:00,113
1324879   ,2017/8/29 0:00:00,305
1321778   ,2017/8/29 0:00:00,106
1321425   ,2017/8/29 0:00:00,106
1317694   ,2017/8/29 0:00:00,113
1319972   ,2017/8/29 0:00:00,106
1323152   ,2017/8/29 0:00:00,106
1317881   ,2017/8/29 0:00:00,113
1330067   ,2017/8/29 0:00:00,305
1328075   ,2017/8/29 0:00:00,113
1300380   ,2017/8/29 0:00:00,113
1321212   ,2017/8/29 0:00:00,113
889940    ,2017/8/29 0:00:00,106
1329262   ,2017/8/29 0:00:00,113
1300528   ,2017/8/29 0:00:00,113
1289689   ,2017/8/29 0:00:00,113
1321316   ,2017/8/29 0:00:00,113
897500    ,2017/8/29 0:00:00,113
1317707   ,2017/8/29 0:00:00,113
1318681   ,2017/8/29 0:00:00,113
1309779   ,2017/8/29 0:00:00,305
1327195   ,2017/8/29 0:00:00,305
1323158   ,2017/8/29 0:00:00,106
1308215   ,2017/8/29 0:00:00,106
1324762   ,2017/8/29 0:00:00,305
1292233   ,2017/8/29 0:00:00,106
1321773   ,2017/8/29 0:00:00,106
1317712   ,2017/8/29 0:00:00,113
1317776   ,2017/8/29 0:00:00,113
1321394   ,2017/8/29 0:00:00,106
1322157   ,2017/8/29 0:00:00,106
1320611   ,2017/8/29 0:00:00,113
1317805   ,2017/8/29 0:00:00,113
1308989   ,2017/8/29 0:00:00,113
1327470   ,2017/8/29 0:00:00,113
1316586   ,2017/8/29 0:00:00,113
1328090   ,2017/8/29 0:00:00,113
1327247   ,2017/8/29 0:00:00,305
884660    ,2017/8/29 0:00:00,106
1328131   ,2017/8/29 0:00:00,113
1325719   ,2017/8/29 0:00:00,113
1319707   ,2017/8/29 0:00:00,106
1291576   ,2017/8/29 0:00:00,312
1310451   ,2017/8/29 0:00:00,305
1328147   ,2017/8/29 0:00:00,113
1306463   ,2017/8/29 0:00:00,113
1319962   ,2017/8/29 0:00:00,106
1323559   ,2017/8/29 0:00:00,113
1282168   ,2017/8/29 0:00:00,106
1303899   ,2017/8/29 0:00:00,113
1309200   ,2017/8/29 0:00:00,305
1317623   ,2017/8/29 0:00:00,113
1300423   ,2017/8/29 0:00:00,113
1321917   ,2017/8/29 0:00:00,106
1312089   ,2017/8/29 0:00:00,113
1320580   ,2017/8/29 0:00:00,113
1321463   ,2017/8/29 0:00:00,106
1322801   ,2017/8/29 0:00:00,106
1318795   ,2017/8/29 0:00:00,113
1301026   ,2017/8/29 0:00:00,305
1327157   ,2017/8/29 0:00:00,106
1328689   ,2017/8/29 0:00:00,305
1320542   ,2017/8/29 0:00:00,113
1317791   ,2017/8/29 0:00:00,113
1330861   ,2017/8/29 0:00:00,113
1315502   ,2017/8/29 0:00:00,113
1328152   ,2017/8/29 0:00:00,113
1309806   ,2017/8/29 0:00:00,305
1313337   ,2017/8/29 0:00:00,106
1320469   ,2017/8/29 0:00:00,106
1328215   ,2017/8/29 0:00:00,106
895634    ,2017/8/29 0:00:00,113
1324740   ,2017/8/29 0:00:00,305
1315848   ,2017/8/29 0:00:00,113
1330089   ,2017/8/29 0:00:00,305
1317842   ,2017/8/29 0:00:00,106
1324248   ,2017/8/29 0:00:00,305
1328175   ,2017/8/29 0:00:00,113
1320643   ,2017/8/29 0:00:00,113
1320718   ,2017/8/29 0:00:00,305
1326921   ,2017/8/29 0:00:00,113
1300484   ,2017/8/29 0:00:00,113
1317659   ,2017/8/29 0:00:00,113
1321485   ,2017/8/29 0:00:00,106
1306869   ,2017/8/29 0:00:00,106
52027     ,2017/8/29 0:00:00,305
1303646   ,2017/8/29 0:00:00,305
1300492   ,2017/8/29 0:00:00,113
52346     ,2017/8/29 0:00:00,106
1327969   ,2017/8/29 0:00:00,113
1324881   ,2017/8/29 0:00:00,106
1323565   ,2017/8/29 0:00:00,312
1313430   ,2017/8/29 0:00:00,106
1317212   ,2017/8/29 0:00:00,305
1321342   ,2017/8/29 0:00:00,113
1327683   ,2017/8/29 0:00:00,106
1319605   ,2017/8/29 0:00:00,113
1329948   ,2017/8/29 0:00:00,113
1312116   ,2017/8/29 0:00:00,113
1323254   ,2017/8/29 0:00:00,106
1305443   ,2017/8/29 0:00:00,106
1282206   ,2017/8/29 0:00:00,117
1314811   ,2017/8/29 0:00:00,113
1321735   ,2017/8/29 0:00:00,106
1320609   ,2017/8/29 0:00:00,113
1321670   ,2017/8/29 0:00:00,106
898976    ,2017/8/29 0:00:00,106
1315409   ,2017/8/29 0:00:00,113
1321309   ,2017/8/29 0:00:00,113
1300519   ,2017/8/29 0:00:00,113
1309670   ,2017/8/29 0:00:00,305
1321120   ,2017/8/29 0:00:00,106
1320551   ,2017/8/29 0:00:00,113
1290840   ,2017/8/29 0:00:00,128
1320527   ,2017/8/29 0:00:00,106
852166    ,2017/8/29 0:00:00,305
1331069   ,2017/8/29 0:00:00,113
1321641   ,2017/8/29 0:00:00,106
1317696   ,2017/8/29 0:00:00,106
1331064   ,2017/8/29 0:00:00,106
1306442   ,2017/8/29 0:00:00,106
1321505   ,2017/8/29 0:00:00,106
1321068   ,2017/8/29 0:00:00,106
1321459   ,2017/8/29 0:00:00,106
1300410   ,2017/8/29 0:00:00,305
1321051   ,2017/8/29 0:00:00,113
1320961   ,2017/8/29 0:00:00,113
1321000   ,2017/8/29 0:00:00,106
1328197   ,2017/8/29 0:00:00,106
1330243   ,2017/8/29 0:00:00,305
1327941   ,2017/8/29 0:00:00,106
1321739   ,2017/8/29 0:00:00,106
1303967   ,2017/8/29 0:00:00,113
1319641   ,2017/8/29 0:00:00,106
1317710   ,2017/8/29 0:00:00,106
895325    ,2017/8/29 0:00:00,106
1324573   ,2017/8/29 0:00:00,305
1324037   ,2017/8/29 0:00:00,106
1327565   ,2017/8/29 0:00:00,305
1320403   ,2017/8/29 0:00:00,305
1318768   ,2017/8/29 0:00:00,113
1321004   ,2017/8/29 0:00:00,106
1327421   ,2017/8/29 0:00:00,113
1317893   ,2017/8/29 0:00:00,113
1313256   ,2017/8/29 0:00:00,106
1327420   ,2017/8/29 0:00:00,113
1319821   ,2017/8/29 0:00:00,106
1320515   ,2017/8/29 0:00:00,113
1300465   ,2017/8/29 0:00:00,113
1324702   ,2017/8/29 0:00:00,305
1321850   ,2017/8/29 0:00:00,106
1313112   ,2017/8/29 0:00:00,106
1330084   ,2017/8/29 0:00:00,305
1321023   ,2017/8/29 0:00:00,106
1330848   ,2017/8/29 0:00:00,312
1286784   ,2017/8/29 0:00:00,106
1327252   ,2017/8/29 0:00:00,305
1322116   ,2017/8/29 0:00:00,305
1321411   ,2017/8/29 0:00:00,113
1320892   ,2017/8/29 0:00:00,305
1321646   ,2017/8/29 0:00:00,106
1317700   ,2017/8/29 0:00:00,106
1300348   ,2017/8/29 0:00:00,113
1321755   ,2017/8/29 0:00:00,106
1319928   ,2017/8/29 0:00:00,106
1321107   ,2017/8/29 0:00:00,113
1316039   ,2017/8/29 0:00:00,305
1317899   ,2017/8/29 0:00:00,113
1319848   ,2017/8/29 0:00:00,305
1317817   ,2017/8/29 0:00:00,113
1330227   ,2017/8/29 0:00:00,305
1331060   ,2017/8/29 0:00:00,106
1316176   ,2017/8/29 0:00:00,113
1321510   ,2017/8/29 0:00:00,106
1328639   ,2017/8/29 0:00:00,305
1323556   ,2017/8/29 0:00:00,305
1324787   ,2017/8/29 0:00:00,106
1319916   ,2017/8/29 0:00:00,106
1314332   ,2017/8/29 0:00:00,113
1308487   ,2017/8/29 0:00:00,113
1322241   ,2017/8/29 0:00:00,305
1327744   ,2017/8/29 0:00:00,106
1321876   ,2017/8/29 0:00:00,106
1321740   ,2017/8/29 0:00:00,106
1323379   ,2017/8/29 0:00:00,113
1321712   ,2017/8/29 0:00:00,106
1328495   ,2017/8/29 0:00:00,113
1328073   ,2017/8/29 0:00:00,113
1316596   ,2017/8/29 0:00:00,113
1317677   ,2017/8/29 0:00:00,113
1324741   ,2017/8/29 0:00:00,305
1323552   ,2017/8/29 0:00:00,305
1321757   ,2017/8/29 0:00:00,106
1317496   ,2017/8/29 0:00:00,305
881745    ,2017/8/29 0:00:00,106
1327585   ,2017/8/29 0:00:00,106
1320558   ,2017/8/29 0:00:00,113
1316862   ,2017/8/29 0:00:00,305
1321431   ,2017/8/29 0:00:00,106
1323273   ,2017/8/29 0:00:00,305
1323275   ,2017/8/29 0:00:00,305
1323718   ,2017/8/29 0:00:00,106
1321370   ,2017/8/29 0:00:00,106
1317624   ,2017/8/29 0:00:00,113
1305219   ,2017/8/29 0:00:00,305
1319379   ,2017/8/29 0:00:00,106
1325572   ,2017/8/29 0:00:00,113
1290841   ,2017/8/29 0:00:00,106
1323249   ,2017/8/29 0:00:00,106
1321737   ,2017/8/29 0:00:00,106
1328275   ,2017/8/29 0:00:00,117
1320467   ,2017/8/29 0:00:00,113
1321340   ,2017/8/29 0:00:00,113
1323205   ,2017/8/29 0:00:00,106
1310131   ,2017/8/29 0:00:00,113
1281256   ,2017/8/29 0:00:00,113
1313174   ,2017/8/29 0:00:00,106
1323129   ,2017/8/29 0:00:00,106
1321693   ,2017/8/29 0:00:00,106
1310620   ,2017/8/29 0:00:00,113
1321930   ,2017/8/29 0:00:00,106
1321898   ,2017/8/29 0:00:00,106
1317693   ,2017/8/29 0:00:00,113
1324961   ,2017/8/29 0:00:00,106
1328172   ,2017/8/29 0:00:00,113
1309912   ,2017/8/29 0:00:00,113
1310436   ,2017/8/29 0:00:00,106
1321198   ,2017/8/29 0:00:00,106
1323284   ,2017/8/29 0:00:00,305
1322275   ,2017/8/29 0:00:00,305
1318874   ,2017/8/29 0:00:00,305
1321025   ,2017/8/29 0:00:00,106
1321407   ,2017/8/29 0:00:00,106
1324706   ,2017/8/29 0:00:00,305
1324050   ,2017/8/29 0:00:00,305
1316590   ,2017/8/29 0:00:00,113
